x,y,yaw
2.894251346588134766e+00,-1.535597443580627441e+00,2.141367778517992093e+00
2.889801025390625000e+00,-1.528603196144104004e+00,2.139121117748564949e+00
2.883246421813964844e+00,-1.518937468528747559e+00,2.135580173908206980e+00
2.879547357559204102e+00,-1.513082981109619141e+00,2.133205166840435041e+00
2.874865293502807617e+00,-1.505805730819702148e+00,2.131555278573713075e+00
2.873866081237792969e+00,-1.501462221145629883e+00,2.154244152493914655e+00
2.875574588775634766e+00,-1.495359539985656738e+00,2.258650877022827075e+00
2.882057666778564453e+00,-1.489896655082702637e+00,2.432567360277916535e+00
2.886105060577392578e+00,-1.485059261322021484e+00,2.562283377023549136e+00
2.889053583145141602e+00,-1.481026768684387207e+00,2.665078242393243535e+00
2.890736818313598633e+00,-1.477839112281799316e+00,2.739807032384426577e+00
2.891298532485961914e+00,-1.474857926368713379e+00,2.790121350534866096e+00
2.892112016677856445e+00,-1.472969532012939453e+00,2.831374226932647176e+00
2.892948865890502930e+00,-1.471134781837463379e+00,2.870943430781137451e+00
2.893261194229125977e+00,-1.470095515251159668e+00,2.892811812801893367e+00
2.893712997436523438e+00,-1.469031929969787598e+00,2.916853672187853519e+00
2.889424324035644531e+00,-1.466617226600646973e+00,2.948550138833761380e+00
2.870704412460327148e+00,-1.461974382400512695e+00,2.971835588548050744e+00
2.846633911132812500e+00,-1.457341670989990234e+00,2.982291356198738974e+00
2.818062067031860352e+00,-1.452526926994323730e+00,2.987210217369970167e+00
2.794316291809082031e+00,-1.448860287666320801e+00,2.986587604636825155e+00
2.771129369735717773e+00,-1.445396065711975098e+00,2.987395734110243950e+00
2.752698898315429688e+00,-1.442118406295776367e+00,2.995660559786151644e+00
2.736258268356323242e+00,-1.439391255378723145e+00,2.997924463242283011e+00
2.720174074172973633e+00,-1.437102437019348145e+00,2.997777798304956498e+00
2.704225778579711914e+00,-1.434602260589599609e+00,3.000489590777990934e+00
2.692290067672729492e+00,-1.432435631752014160e+00,3.005101474415202034e+00
2.681522130966186523e+00,-1.430990934371948242e+00,3.008116169045210064e+00
2.673340320587158203e+00,-1.429692983627319336e+00,3.011390808678680031e+00
2.664924621582031250e+00,-1.428145170211791992e+00,3.015306772128921509e+00
2.656190156936645508e+00,-1.426760792732238770e+00,3.022879601623507106e+00
2.648426055908203125e+00,-1.425828456878662109e+00,3.024582425845414591e+00
2.643115520477294922e+00,-1.423536419868469238e+00,3.065219608491632997e+00
2.640004396438598633e+00,-1.418412446975708008e+00,-3.112980628414053097e+00
2.639006376266479492e+00,-1.409661412239074707e+00,-2.927091897020453359e+00
2.637305974960327148e+00,-1.402185678482055664e+00,-2.763386038593577343e+00
2.634731054306030273e+00,-1.396617650985717773e+00,-2.633045105351130566e+00
2.630332708358764648e+00,-1.389930129051208496e+00,-2.478088826808758860e+00
2.624333381652832031e+00,-1.383716225624084473e+00,-2.295598230585416122e+00
2.619115591049194336e+00,-1.379378437995910645e+00,-2.161002942882567002e+00
2.611424446105957031e+00,-1.375011801719665527e+00,-1.979542367531732960e+00
2.604094266891479492e+00,-1.372240185737609863e+00,-1.824129659622113042e+00
2.597960710525512695e+00,-1.370355129241943359e+00,-1.694949435105492341e+00
